St Nom la Bretêche	L'Etang la Ville	Marly le Roi	Louveciennes	Bougival	La Celle St Cloud	Vaucresson	Garches	St Cloud	Le Val d'Or	Suresnes	Puteaux	La Défense	Courbevoie	Bécon les Bruyères	Paris Saint-Lazare
07:08	07:11	07:13	07:16	07:19	07:21	07:24	07:27	07:30	-----	-----	-----	07:37	-----	-----	07:46
-----	-----	-----	-----	-----	-----	-----	-----	07:34	-----	-----	-----	07:40	-----	-----	07:49
-----	-----	-----	-----	-----	-----	-----	-----	07:35	07:37	07:40	07:42	07:45	07:47	07:49	07:57
-----	-----	-----	-----	-----	-----	-----	-----	07:39	07:41	07:43	07:46	07:47	-----	-----	-----
07:20	07:23	07:26	07:29	07:31	07:34	07:36	07:40	07:44	-----	-----	-----	07:50	07:52	07:54	08:02
-----	-----	-----	-----	-----	-----	-----	-----	07:47	07:49	07:52	07:54	07:57	-----	-----	08:06
-----	-----	07:35	07:38	07:40	07:43	07:45	07:49	07:53	-----	-----	-----	08:00	08:02	08:04	08:12
-----	-----	-----	-----	-----	-----	-----	-----	07:55	07:57	08:00	08:02	08:03	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	08:00	-----	-----	-----	08:07	-----	-----	08:16
07:40	07:44	07:46	-----	-----	07:52	07:54	07:58	08:02	-----	-----	-----	08:09	08:11	08:13	08:21
-----	-----	-----	-----	-----	-----	-----	-----	08:04	08:06	08:08	08:11	08:14	-----	-----	-----
		07:50	07:53	07:55	07:58	08:00	08:04	08:08	-----	-----	-----	08:16	08:18	08:20	08:23
-----	-----	-----	-----	-----	-----	-----	-----	08:10	08:12	08:15	08:17	08:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	08:15	-----	-----	-----	08:22	-----	-----	08:31
07:53	07:56	07:59	08:02	08:04	08:07	08:09	08:13	08:17	-----	-----	-----	08:24	08:26	08:28	08:36
-----	-----	-----	-----	-----	-----	-----	-----	08:19	08:21	08:23	08:26	08:29	-----	-----	08:38
		08:05	08:08	08:10	08:13	08:15	08:19	08:23	-----	-----	-----	08:31	08:33	08:35	08:43
-----	-----	-----	-----	-----	-----	-----	-----	08:25	08:27	08:30	08:32	08:33	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	08:30	-----	-----	-----	08:37	-----	-----	08:46
08:10	08:14	08:16	-----	-----	08:22	08:24	08:28	08:32	-----	-----	-----	08:39	08:41	08:43	08:51
-----	-----	-----	-----	-----	-----	-----	-----	08:34	08:36	08:38	08:41	08:44	-----	-----	08:53
		08:20	08:23	08:25	08:28	08:30	08:34	08:38	-----	-----	-----	08:46	08:48	08:50	08:58
-----	-----	-----	-----	-----	-----	-----	-----	08:40	08:42	08:45	08:47	08:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	08:46	-----	-----	-----	08:52	-----	-----	09:01
08:25	08:28	08:31	08:34	08:36	08:39	08:41	08:45	08:49	-----	-----	-----	08:56	-----	-----	09:05
-----	-----	-----	-----	-----	-----	-----	-----	08:50	08:52	08:55	08:57	09:00	09:02	09:04	09:12
-----	-----	-----	-----	-----	-----	-----	-----	08:54	08:56	08:59	09:01	09:03	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	09:01	-----	-----	-----	09:07	-----	-----	09:16
08:40	08:43	08:46	08:49	08:51	08:54	08:56	09:00	09:04	-----	-----	-----	09:11	-----	-----	09:20
-----	-----	-----	-----	-----	-----	-----	-----	09:06	09:08	09:10	09:13	09:15	09:18	09:20	09:28
-----	-----	-----	-----	-----	-----	-----	-----	09:09	09:11	09:14	09:16	09:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	09:16	-----	-----	-----	09:22	-----	-----	09:31
08:55	08:58	09:01	09:04	09:06	09:09	09:11	09:15	09:19	-----	-----	-----	09:26	-----	-----	09:35
-----	-----	-----	-----	-----	-----	-----	-----	09:21	09:23	09:25	09:28	09:30	09:33	09:35	09:42
-----	-----	-----	-----	-----	-----	-----	-----	09:31	-----	-----	-----	09:37	-----	-----	09:46
09:10	09:13	09:16	09:19	09:21	09:24	09:26	09:30	09:34	-----	-----	-----	09:41	-----	-----	09:50
-----	-----	-----	-----	-----	-----	-----	-----	09:36	09:38	09:40	09:43	09:45	09:48	09:50	09:57
-----	-----	-----	-----	-----	-----	-----	-----	09:39	09:41	09:44	09:46	09:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	09:46	-----	-----	-----	09:52	-----	-----	10:01
09:25	09:28	09:31	09:34	09:36	09:39	09:41	09:45	09:49	-----	-----	-----	09:56	-----	-----	10:05
-----	-----	-----	-----	-----	-----	-----	-----	09:51	09:53	09:55	09:58	10:00	10:03	10:05	10:12
-----	-----	-----	-----	-----	-----	-----	-----	10:01	-----	-----	-----	10:07	-----	-----	10:16
09:40	09:43	09:46	09:49	09:51	09:54	09:56	10:00	10:04	-----	-----	-----	10:11	-----	-----	10:20
-----	-----	-----	-----	-----	-----	-----	-----	10:06	10:08	10:10	10:13	10:15	10:18	10:20	10:27
-----	-----	-----	-----	-----	-----	-----	-----	10:09	10:11	10:14	10:16	10:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	10:17	-----	-----	-----	10:23	-----	-----	10:32
-----	-----	-----	-----	-----	-----	-----	-----	10:21	10:23	10:25	10:28	10:30	10:33	10:35	10:42
10:06	10:09	10:11	10:14	10:17	10:19	10:22	10:25	10:29	-----	-----	-----	10:35	-----	-----	10:44
-----	-----	-----	-----	-----	-----	-----	-----	10:32	-----	-----	-----	00:00	-----	-----	10:47
-----	-----	-----	-----	-----	-----	-----	-----	10:36	10:38	10:40	10:43	10:45	10:48	10:50	10:57
-----	-----	-----	-----	-----	-----	-----	-----	10:39	10:41	10:44	10:46	10:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	10:47	-----	-----	-----	10:53	-----	-----	11:02
-----	-----	-----	-----	-----	-----	-----	-----	10:51	10:53	10:55	10:58	11:00	11:03	11:05	11:12
10:36	10:39	10:41	10:44	10:47	10:49	10:52	10:55	10:59	-----	-----	-----	11:05	-----	-----	11:14
-----	-----	-----	-----	-----	-----	-----	-----	11:02	-----	-----	-----	11:08	-----	-----	11:17
-----	-----	-----	-----	-----	-----	-----	-----	11:06	11:08	11:10	11:13	11:15	11:18	11:20	11:27
-----	-----	-----	-----	-----	-----	-----	-----	11:09	11:11	11:14	11:16	11:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	11:17	-----	-----	-----	11:23	-----	-----	11:32
-----	-----	-----	-----	-----	-----	-----	-----	11:21	11:23	11:25	11:28	11:30	11:33	11:35	11:42
11:06	11:09	11:11	11:14	11:17	11:19	11:22	11:25	11:29	-----	-----	-----	11:35	-----	-----	11:44
-----	-----	-----	-----	-----	-----	-----	-----	11:32	-----	-----	-----	11:38	-----	-----	11:47
-----	-----	-----	-----	-----	-----	-----	-----	11:36	11:38	11:40	11:43	11:45	11:48	11:50	11:57
-----	-----	-----	-----	-----	-----	-----	-----	11:39	11:41	11:44	11:46	11:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	11:47	-----	-----	-----	11:53	-----	-----	12:02
-----	-----	-----	-----	-----	-----	-----	-----	11:51	11:53	11:55	11:58	12:00	12:03	12:05	12:12
11:36	11:39	11:41	11:44	11:47	11:49	11:52	11:55	11:59	-----	-----	-----	12:05	-----	-----	12:14
-----	-----	-----	-----	-----	-----	-----	-----	12:02	-----	-----	-----	12:08	-----	-----	12:17
-----	-----	-----	-----	-----	-----	-----	-----	12:06	12:08	12:10	12:13	12:15	12:18	12:20	12:27
-----	-----	-----	-----	-----	-----	-----	-----	12:09	12:11	12:14	12:16	12:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	12:17	-----	-----	-----	12:23	-----	-----	12:32
12:06	12:09	12:11	12:14	12:17	12:19	12:22	12:25	12:21	12:23	12:25	12:28	12:30	12:33	12:35	12:42
-----	-----	-----	-----	-----	-----	-----	-----	12:29	-----	-----	-----	12:35	-----	-----	12:44
-----	-----	-----	-----	-----	-----	-----	-----	12:32	-----	-----	-----	12:38	-----	-----	12:47
-----	-----	-----	-----	-----	-----	-----	-----	12:36	12:38	12:40	12:43	12:45	12:48	12:50	12:57
-----	-----	-----	-----	-----	-----	-----	-----	12:39	12:41	12:44	12:46	12:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	12:47	-----	-----	-----	12:53	-----	-----	13:02
-----	-----	-----	-----	-----	-----	-----	-----	12:51	12:53	12:55	12:58	13:00	13:03	13:05	13:12
12:36	12:39	12:41	12:44	12:47	12:49	12:52	12:55	12:59	-----	-----	-----	13:05	-----	-----	13:14
-----	-----	-----	-----	-----	-----	-----	-----	13:02	-----	-----	-----	13:08	-----	-----	13:17
-----	-----	-----	-----	-----	-----	-----	-----	13:06	13:08	13:10	13:13	13:15	13:18	13:20	13:27
-----	-----	-----	-----	-----	-----	-----	-----	13:09	13:11	13:14	13:16	13:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	13:17	-----	-----	-----	13:23	-----	-----	13:32
-----	-----	-----	-----	-----	-----	-----	-----	13:21	13:23	13:25	13:28	13:30	13:33	13:35	13:42
13:06	13:09	13:11	13:14	13:17	13:19	13:22	13:25	13:29	-----	-----	-----	13:35	-----	-----	13:44
-----	-----	-----	-----	-----	-----	-----	-----	13:32	-----	-----	-----	13:38	-----	-----	13:47
-----	-----	-----	-----	-----	-----	-----	-----	13:36	13:38	13:40	13:43	13:45	13:48	13:50	13:57
-----	-----	-----	-----	-----	-----	-----	-----	13:39	13:41	13:44	13:46	13:48	-----	-----	-----
13:21	13:24	13:26	13:29	13:32	13:34	13:37	13:40	13:44	-----	-----	-----	13:50	-----	-----	13:59
-----	-----	-----	-----	-----	-----	-----	-----	13:47	-----	-----	-----	13:53	-----	-----	14:02
-----	-----	-----	-----	-----	-----	-----	-----	13:51	13:53	13:55	13:58	14:00	14:03	14:05	14:12
13:36	13:39	13:41	13:44	13:47	13:49	13:52	13:55	13:59	-----	-----	-----	14:05	-----	-----	14:14
-----	-----	-----	-----	-----	-----	-----	-----	14:02	-----	-----	-----	14:08	-----	-----	14:17
-----	-----	-----	-----	-----	-----	-----	-----	14:06	14:08	14:10	14:13	14:15	14:18	14:20	14:27
-----	-----	-----	-----	-----	-----	-----	-----	14:09	14:11	14:14	14:16	14:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	14:17	-----	-----	-----	14:23	-----	-----	14:32
-----	-----	-----	-----	-----	-----	-----	-----	14:21	14:23	14:25	14:28	14:30	14:33	14:35	14:42
14:06	14:09	14:11	14:14	14:17	14:19	14:22	14:25	14:29	-----	-----	-----	14:35	-----	-----	14:44
-----	-----	-----	-----	-----	-----	-----	-----	14:32	-----	-----	-----	14:38	-----	-----	14:47
-----	-----	-----	-----	-----	-----	-----	-----	14:36	14:38	14:40	14:43	14:45	14:48	14:50	14:57
-----	-----	-----	-----	-----	-----	-----	-----	14:39	14:41	14:44	14:46	14:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	14:47	-----	-----	-----	14:53	-----	-----	15:02
-----	-----	-----	-----	-----	-----	-----	-----	14:51	14:53	14:55	14:58	15:00	15:03	15:05	15:12
14:36	14:39	14:41	14:44	14:47	14:49	14:52	14:55	14:59	-----	-----	-----	15:05	-----	-----	15:14
-----	-----	-----	-----	-----	-----	-----	-----	15:02	-----	-----	-----	15:08	-----	-----	15:17
-----	-----	-----	-----	-----	-----	-----	-----	15:06	15:08	15:10	15:13	15:15	15:18	15:20	15:27
-----	-----	-----	-----	-----	-----	-----	-----	15:09	15:11	15:14	15:16	15:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	15:17	-----	-----	-----	15:23	-----	-----	15:32
-----	-----	-----	-----	-----	-----	-----	-----	15:21	15:23	15:25	15:28	15:30	15:33	15:35	15:42
15:06	15:09	15:11	15:14	15:17	15:19	15:22	15:25	15:29	-----	-----	-----	15:35	-----	-----	15:44
-----	-----	-----	-----	-----	-----	-----	-----	15:32	-----	-----	-----	15:38	-----	-----	15:47
-----	-----	-----	-----	-----	-----	-----	-----	15:36	15:38	15:40	15:43	15:45	15:48	15:50	15:57
-----	-----	-----	-----	-----	-----	-----	-----	15:39	15:41	15:44	15:46	15:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	15:47	-----	-----	-----	15:53	-----	-----	16:02
-----	-----	-----	-----	-----	-----	-----	-----	15:51	15:53	15:55	15:58	16:00	16:03	16:05	16:12
15:36	15:39	15:41	15:44	15:47	15:49	15:52	15:55	15:59	-----	-----	-----	16:05	-----	-----	16:14
-----	-----	-----	-----	-----	-----	-----	-----	16:02	-----	-----	-----	16:08	-----	-----	16:18
-----	-----	-----	-----	-----	-----	-----	-----	16:06	16:08	16:10	16:13	16:15	16:18	16:20	16:27
-----	-----	-----	-----	-----	-----	-----	-----	16:09	16:11	16:14	16:16	16:18	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	16:17	-----	-----	-----	16:23	-----	-----	16:32
-----	-----	-----	-----	-----	-----	-----	-----	16:21	16:23	16:25	16:28	16:30	16:33	16:35	16:42
16:06	16:09	16:11	16:14	16:17	16:19	16:22	16:25	16:29	-----	-----	-----	16:35	-----	-----	16:44
-----	-----	-----	-----	-----	-----	-----	-----	16:33	-----	-----	-----	16:39	-----	-----	16:48
-----	-----	-----	-----	-----	-----	-----	-----	16:36	16:38	16:40	16:43	16:45	16:48	16:50	16:58
-----	-----	-----	-----	-----	-----	-----	-----	16:39	16:41	16:44	16:46	16:48	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	16:48	-----	-----	-----	16:54	-----	-----	17:03
-----	-----	-----	-----	-----	-----	-----	-----	16:51	16:53	16:55	16:58	17:00	17:03	17:05	17:13
-----	-----	-----	-----	-----	-----	-----	-----	16:54	16:56	16:59	17:01	17:03	-----	-----	-----
16:37	16:40	16:42	16:45	16:48	16:50	16:53	16:56	17:00	-----	-----	-----	17:06	-----	-----	17:15
-----	-----	-----	-----	-----	-----	-----	-----	17:04	-----	-----	-----	17:11	-----	-----	17:20
-----	-----	-----	-----	-----	-----	-----	-----	17:06	17:08	17:10	17:13	17:15	17:18	17:20	17:28
-----	-----	-----	-----	-----	-----	-----	-----	17:09	17:11	17:14	17:16	17:18	-----	-----	-----
16:52	16:55	16:57	17:00	17:03	17:05	17:08	17:11	17:15	-----	-----	-----	17:21	-----	-----	17:30
-----	-----	-----	-----	-----	-----	-----	-----	17:19	-----	-----	-----	17:26	-----	-----	17:35
-----	-----	-----	-----	-----	-----	-----	-----	17:21	17:23	17:25	17:28	17:30	17:33	17:35	17:43
-----	-----	-----	-----	-----	-----	-----	-----	17:24	17:26	17:29	17:31	17:33	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	17:34	-----	-----	-----	17:41	-----	-----	17:50
-----	-----	-----	-----	-----	-----	-----	-----	17:36	17:38	17:40	17:43	17:45	17:48	17:50	17:58
-----	-----	-----	-----	-----	-----	-----	-----	17:39	17:41	17:44	17:46	17:48	-----	-----	-----
17:22	17:25	17:27	17:30	17:33	17:35	17:38	17:41	17:45	-----	-----	-----	17:51	-----	-----	18:00
-----	-----	-----	-----	-----	-----	-----	-----	17:48	-----	-----	-----	17:55	-----	-----	18:04
-----	-----	-----	-----	-----	-----	-----	-----	17:51	17:53	17:55	17:58	18:00	18:03	18:05	18:13
-----	-----	-----	-----	-----	-----	-----	-----	17:54	17:56	17:59	18:01	18:03	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	18:03	-----	-----	-----	18:10	-----	-----	18:19
-----	-----	-----	-----	-----	-----	-----	-----	18:06	18:08	18:10	18:13	18:15	18:18	18:20	18:28
-----	-----	-----	-----	-----	-----	-----	-----	18:09	18:11	18:14	18:16	18:18	-----	-----	-----
17:52	17:55	17:57	18:00	18:03	18:05	18:08	18:11	18:15	-----	-----	-----	18:21	-----	-----	18:30
-----	-----	-----	-----	-----	-----	-----	-----	18:18	-----	-----	-----	18:24	-----	-----	18:34
-----	-----	-----	-----	-----	-----	-----	-----	18:21	18:23	18:25	18:28	18:33	18:33	18:35	18:43
-----	-----	-----	-----	-----	-----	-----	-----	18:24	18:26	18:29	18:31	18:36	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	18:33	-----	-----	-----	18:39	-----	-----	18:49
-----	-----	-----	-----	-----	-----	-----	-----	18:36	18:38	18:40	18:43	18:44	18:48	18:50	18:58
-----	-----	-----	-----	-----	-----	-----	-----	18:39	18:41	18:44	18:46	18:48	-----	-----	-----
18:20	18:23	18:25	18:28	18:31	18:33	18:36	18:39	18:44	-----	-----	-----	18:51	-----	-----	19:00
-----	-----	-----	-----	-----	-----	-----	-----	18:48	-----	-----	-----	18:55	-----	-----	19:04
-----	-----	-----	-----	-----	-----	-----	-----	18:51	18:53	18:55	18:58	19:00	19:03	19:05	19:13
-----	-----	-----	-----	-----	-----	-----	-----	18:54	18:56	18:59	19:01	19:03	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	19:04	-----	-----	-----	19:11	-----	-----	19:21
-----	-----	-----	-----	-----	-----	-----	-----	19:06	19:08	19:10	19:13	19:15	19:18	19:20	19:28
-----	-----	-----	-----	-----	-----	-----	-----	19:09	19:11	19:14	19:16	19:18	-----	-----	-----
18:50	18:53	18:55	18:58	19:01	19:03	19:06	19:09	19:14	-----	-----	-----	19:21	-----	-----	19:30
-----	-----	-----	-----	-----	-----	-----	-----	19:19	-----	-----	-----	19:26	-----	-----	19:35
-----	-----	-----	-----	-----	-----	-----	-----	19:21	19:23	19:25	19:28	19:30	19:33	19:35	19:43
-----	-----	-----	-----	-----	-----	-----	-----	19:34	-----	-----	-----	19:41	-----	-----	19:50
-----	-----	-----	-----	-----	-----	-----	-----	19:36	19:38	19:40	19:43	19:45	19:48	19:50	19:57
-----	-----	-----	-----	-----	-----	-----	-----	19:39	19:41	19:44	19:46	19:48	-----	-----	-----
19:22	19:25	19:27	19:30	19:33	19:35	19:38	19:41	19:45	-----	-----	-----	19:51	-----	-----	20:00
-----	-----	-----	-----	-----	-----	-----	-----	19:49	-----	-----	-----	19:56	-----	-----	20:05
-----	-----	-----	-----	-----	-----	-----	-----	19:51	19:53	19:55	19:58	20:00	20:03	20:05	20:12
-----	-----	-----	-----	-----	-----	-----	-----	20:04	-----	-----	-----	20:11	-----	-----	20:20
-----	-----	-----	-----	-----	-----	-----	-----	20:06	20:08	20:10	20:13	20:15	20:18	20:20	20:27
-----	-----	-----	-----	-----	-----	-----	-----	20:09	20:11	20:14	20:16	20:18	-----	-----	-----
19:52	19:55	19:57	20:00	20:03	20:05	20:08	20:11	20:15	-----	-----	-----	20:21	-----	-----	20:30
-----	-----	-----	-----	-----	-----	-----	-----	20:19	-----	-----	-----	20:26	-----	-----	20:35
-----	-----	-----	-----	-----	-----	-----	-----	20:21	20:23	20:25	20:28	20:30	20:33	20:35	20:42
-----	-----	-----	-----	-----	-----	-----	-----	20:33	20:35	20:38	20:40	20:43	20:05	20:47	20:54
-----	-----	-----	-----	-----	-----	-----	-----	20:39	20:41	20:44	20:46	20:48	-----	-----	-----
20:21	20:24	20:26	20:29	20:31	20:33	20:36	20:39	20:42	20:44	20:47	20:49	20:52	20:54	20:56	21:03
-----	-----	-----	-----	-----	-----	-----	-----	20:57	20:59	21:02	21:04	21:07	21:09	21:11	21:18
-----	-----	-----	-----	-----	-----	-----	-----	21:09	21:11	21:13	21:16	21:17	-----	-----	-----
20:51	20:54	20:56	20:59	21:01	21:03	21:06	21:09	21:12	21:14	21:17	21:19	21:22	21:24	21:26	21:33
-----	-----	-----	-----	-----	-----	-----	-----	21:24	21:26	21:29	21:31	21:34	21:36	21:38	21:45
21:18	21:21	21:23	21:26	21:28	21:30	21:33	21:36	21:39	21:41	21:44	21:46	21:49	21:51	21:53	22:00
-----	-----	-----	-----	-----	-----	-----	-----	21:54	21:56	21:59	22:01	22:04	22:06	22:08	22:15
-----	-----	-----	-----	-----	-----	-----	-----	21:59	22:01	22:03	22:06	22:07	-----	-----	-----
21:48	21:51	21:53	21:56	21:58	22:00	22:03	22:06	22:09	22:11	22:14	22:16	22:19	22:21	22:23	22:30
-----	-----	-----	-----	-----	-----	-----	-----	22:24	22:26	22:29	22:31	22:34	22:36	22:38	22:45
22:18	22:01	22:23	22:26	22:28	22:30	22:33	22:36	22:39	22:41	22:44	22:46	22:49	22:51	22:53	23:00
-----	-----	-----	-----	-----	-----	-----	-----	22:54	22:56	22:59	23:01	23:04	23:06	23:08	23:15
-----	-----	-----	-----	-----	-----	-----	-----	22:59	23:01	23:03	23:06	23:07	-----	-----	-----
22:48	22:51	22:53	22:56	22:58	23:00	23:03	23:06	23:09	23:11	23:14	23:16	23:19	23:21	23:23	23:30
-----	-----	-----	-----	-----	-----	-----	-----	23:24	23:26	23:29	23:31	23:34	23:36	23:38	23:45
23:18	23:21	23:23	23:26	23:28	23:30	23:33	23:36	23:39	23:41	23:44	23:46	23:49	23:51	23:53	00:00
-----	-----	-----	-----	-----	-----	-----	-----	23:54	23:56	23:59	00:01	00:04	00:06	00:08	00:15
-----	-----	-----	-----	-----	-----	-----	-----	23:59	00:01	00:03	00:06	00:07	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	00:24	00:26	00:29	00:31	00:34	00:36	00:38	00:45
-----	-----	-----	-----	-----	-----	-----	-----	05:03	05:05	05:08	05:10	05:13	05:15	05:17	05:24
04:57	05:00	05:02	05:05	05:07	05:09	05:12	05:15	05:18	05:20	05:23	05:25	05:28	05:30	05:32	05:39
-----	-----	-----	-----	-----	-----	-----	-----	05:33	05:35	05:38	05:40	05:43	05:45	05:47	05:54
05:27	05:30	05:32	05:35	05:37	05:39	05:42	05:45	05:48	05:50	05:53	05:55	05:58	06:00	06:02	06:09
-----	-----	-----	-----	-----	-----	-----	-----	05:54	05:56	05:58	06:01	06:02	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	06:03	06:05	06:08	06:10	06:12	06:14	06:16	06:24
05:53	05:56	05:58	06:01	06:03	06:05	06:08	06:11	06:14	06:16	06:19	06:22	06:24	06:26	06:28	06:35
06:00	06:03	06:05	06:08	06:11	06:13	06:16	06:19	06:22	-----	-----	-----	06:29	-----	-----	06:38
-----	-----	-----	-----	-----	-----	-----	-----	06:30	06:32	06:35	06:37	06:39	06:41	06:43	06:51
-----	-----	-----	-----	-----	-----	-----	-----	06:39	06:41	06:43	06:46	06:47	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	06:47	06:49	06:52	06:54	06:56	06:58	07:00	07:08
06:38	06:41	06:43	06:46	06:49	06:51	06:54	06:57	07:00	-----	-----	-----	07:07	-----	-----	07:16
-----	-----	-----	-----	-----	-----	-----	-----	07:05	07:07	07:10	07:12	07:14	07:16	07:18	07:26
-----	-----	-----	-----	-----	-----	-----	-----	07:09	07:11	07:13	07:16	07:17	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	07:20	07:22	07:25	07:27	07:30	07:32	07:35	07:42
07:08	07:11	07:13	07:16	07:19	07:21	07:24	07:27	07:30	-----	-----	-----	07:37	-----	-----	07:46
-----	-----	-----	-----	-----	-----	-----	-----	07:35	07:37	07:40	07:42	07:44	07:46	07:48	07:56
-----	-----	-----	-----	-----	-----	-----	-----	07:39	07:41	07:43	07:46	07:47	-----	-----	-----
07:25	07:28	07:31	07:34	07:36	07:39	07:41	07:44	07:49	------	-----	-----	07:56	-----	-----	08:05
-----	-----	-----	-----	-----	-----	-----	-----	07:50	07:52	07:55	07:57	08:00	08:02	08:04	08:11
-----	-----	-----	-----	-----	-----	-----	-----	08:00	-----	-----	-----	08:07	-----	-----	08:16
07:40	07:43	07:46	07:49	07:51	07:54	07:56	08:00	08:04	-----	-----	-----	08:11	-----	-----	08:20
-----	-----	-----	-----	-----	-----	-----	-----	08:05	08:07	08:10	08:12	08:15	08:17	08:19	08:27
-----	-----	-----	-----	-----	-----	-----	-----	08:09	08:11	08:13	08:16	08:17	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	08:15	-----	-----	-----	08:22	-----	-----	08:31
07:55	07:58	08:01	08:04	08:06	08:09	08:11	08:15	08:19	-----	-----	-----	08:26	-----	-----	08:35
-----	-----	-----	-----	-----	-----	-----	-----	08:20	08:22	08:25	08:27	08:30	08:32	08:34	08:42
-----	-----	-----	-----	-----	-----	-----	-----	08:30	-----	-----	-----	08:37	-----	-----	08:46
08:10	08:13	08:16	08:19	08:21	08:24	08:26	08:30	08:34	-----	-----	-----	08:41	-----	-----	08:50
-----	-----	-----	-----	-----	-----	-----	-----	08:35	08:37	08:40	08:42	08:45	08:47	08:49	08:57
-----	-----	-----	-----	-----	-----	-----	-----	08:39	08:41	08:43	08:46	08:47	-----	-----	-----
-----	-----	-----	-----	-----	-----	-----	-----	08:46	-----	-----	-----	08:52	-----	-----	09:01
